check,passed,value,limit,note
通信/K000003/1422.383-1462.335,True,"{'direct_margin': -3.3214985987892334, 'access_margin': 5.836647193524016, 'backhaul_margin': 3.6748289855268013, 'slot': 3}",,直连不可用时的同一中继接入+回传证书
通信/K000003/1462.335-1475.652,True,"{'direct_margin': -2.375228615367263, 'access_margin': 7.020822258034869, 'backhaul_margin': 3.6748289855268013, 'slot': 3}",,直连不可用时的同一中继接入+回传证书
通信/K000003/1475.652-1502.287,True,"{'direct_margin': -2.035486074745563, 'access_margin': 7.402068873937537, 'backhaul_margin': 3.6748289855268013, 'slot': 3}",,直连不可用时的同一中继接入+回传证书
通信/K000003/1502.287-1515.604,True,"{'direct_margin': -1.3134650205654594, 'access_margin': 8.108013585535488, 'backhaul_margin': 3.6748289855268013, 'slot': 3}",,直连不可用时的同一中继接入+回传证书
通信/K000003/1515.604-1555.556,True,"{'direct_margin': -0.9287065987013676, 'access_margin': 8.416455661404413, 'backhaul_margin': 3.6748289855268013, 'slot': 3}",,直连不可用时的同一中继接入+回传证书
通信连续性/K000003,True,"{'intervals': 29, 'relay_intervals': 25}",,
路线/K000003/逐箱组批一致,True,"{'S012|医疗物资': 1, 'S012|应急食品': 1, 'S012|饮用水': 1}","{'S012|医疗物资': 1, 'S012|应急食品': 1, 'S012|饮用水': 1}",
路线/K000001/目的地/S002|医疗物资,True,,,
路线/K000001/目的地/S002|应急食品,True,,,
路线/K000001/目的地/S002|饮用水,True,,,
路线/K000001/装卸组批一致,True,,,
路线/K000001/载荷体积,True,"{'mass': 67.0, 'volume': 0.148}","{'mass': 80.0, 'volume': 0.25}",
路线/K000001/返航能量余量,True,6.2810104080250655,6.4,
路线/K000001/能耗重算,True,6.2810104080250655,6.2810104080250655,
路线/K000001/SOC重算,True,,,
路线/K000001/卸载偏移重算,True,,,
路线/K000001/非负开始时刻,True,,,
路线/K000001/时间重算,True,"{'stored_finish': 2252.2396507946573, 'recomputed_finish': 2252.2396507946573}",,
路线/K000001/起飞准备,True,"{'stored': 624.3974847701029, 'recomputed': 624.3974847701029}",,
路线/K000001/充电时间,True,"{'stored': 2534.440318840122, 'recomputed': 2534.440318840122}",,
路线/K000001/充电完成重算,True,,,
路线/K000001/无人机编号,True,U07,,
路线/K000001/电池编号,True,C-BAT-02,,
通信/K000001/956.953-1112.985,True,"{'direct_margin': -3.9626124517918555, 'access_margin': 1.5778209041375248, 'backhaul_margin': 3.6748289855268013, 'slot': 3}",,直连不可用时的同一中继接入+回传证书
通信/K000001/1112.985-1164.996,True,"{'direct_margin': -4.98505481864035, 'access_margin': 0.612815892461299, 'backhaul_margin': 3.6748289855268013, 'slot': 3}",,直连不可用时的同一中继接入+回传证书
通信/K000001/1164.996-1191.001,True,"{'direct_margin': -5.454442080566935, 'access_margin': 0.14789258851372722, 'backhaul_margin': 3.6748289855268013, 'slot': 3}",,直连不可用时的同一中继接入+回传证书
通信/K000001/1191.001-1235.729,True,"{'direct_margin': -5.454442080570175, 'access_margin': 0.33492735049968303, 'backhaul_margin': 10.978824655493412, 'slot': 0}",,直连不可用时的同一中继接入+回传证书
通信/K000001/1235.729-1631.729,True,"{'direct_margin': -5.452794286226634, 'access_margin': 0.33492735049956934, 'backhaul_margin': 10.978824655493412, 'slot': 0}",,直连不可用时的同一中继接入+回传证书
通信/K000001/1631.729-1667.510,True,"{'direct_margin': -5.454442080570175, 'access_margin': 0.33492735049956934, 'backhaul_margin': 10.978824655493412, 'slot': 0}",,直连不可用时的同一中继接入+回传证书
通信/K000001/1667.510-1693.516,True,"{'direct_margin': -5.454442080562032, 'access_margin': 0.14789258851864417, 'backhaul_margin': 3.6748289855268013, 'slot': 3}",,直连不可用时的同一中继接入+回传证书
通信/K000001/1693.516-1745.526,True,"{'direct_margin': -4.985054818635177, 'access_margin': 0.6128158924663438, 'backhaul_margin': 3.6748289855268013, 'slot': 3}",,直连不可用时的同一中继接入+回传证书
通信/K000001/1745.526-1901.559,True,"{'direct_margin': -3.9626124517860433, 'access_margin': 1.5778209041428113, 'backhaul_margin': 3.6748289855268013, 'slot': 3}",,直连不可用时的同一中继接入+回传证书
通信连续性/K000001,True,"{'intervals': 13, 'relay_intervals': 9}",,
路线/K000001/逐箱组批一致,True,"{'S002|医疗物资': 1, 'S002|应急食品': 1, 'S002|饮用水': 4}","{'S002|医疗物资': 1, 'S002|应急食品': 1, 'S002|饮用水': 4}",
路线/K000005/目的地/S001|医疗物资,True,,,
路线/K000005/目的地/S001|生活卫生用品,True,,,
路线/K000005/目的地/S001|应急食品,True,,,
路线/K000005/目的地/S001|饮用水,True,,,
路线/K000005/装卸组批一致,True,,,
路线/K000005/载荷体积,True,"{'mass': 64.0, 'volume': 0.197}","{'mass': 80.0, 'volume': 0.25}",
路线/K000005/返航能量余量,True,2.5656145660855434,6.4,
路线/K000005/能耗重算,True,2.5656145660855434,2.5656145660855434,
路线/K000005/SOC重算,True,,,
路线/K000005/卸载偏移重算,True,,,
路线/K000005/非负开始时刻,True,,,
路线/K000005/时间重算,True,"{'stored_finish': 3187.7276703486427, 'recomputed_finish': 3187.7276703486423}",,
路线/K000005/起飞准备,True,"{'stored': 2101.5526244866196, 'recomputed': 2101.5526244866196}",,
路线/K000005/充电时间,True,"{'stored': 1528.1872783148347, 'recomputed': 1528.1872783148347}",,
路线/K000005/充电完成重算,True,,,
路线/K000005/无人机编号,True,U08,,
路线/K000005/电池编号,True,C-BAT-01,,
通信连续性/K000005,True,"{'intervals': 7, 'relay_intervals': 0}",,
路线/K000005/逐箱组批一致,True,"{'S001|医疗物资': 2, 'S001|应急食品': 3, 'S001|生活卫生用品': 1, 'S001|饮用水': 2}","{'S001|医疗物资': 2, 'S001|生活卫生用品': 1, 'S001|应急食品': 3, 'S001|饮用水': 2}",
路线/K000006/目的地/S010|医疗物资,True,,,
路线/K000006/目的地/S010|应急食品,True,,,
路线/K000006/目的地/S010|饮用水,True,,,
路线/K000006/装卸组批一致,True,,,
路线/K000006/载荷体积,True,"{'mass': 25.0, 'volume': 0.067}","{'mass': 30.0, 'volume': 0.073}",
路线/K000006/返航能量余量,True,1.8232594430204312,3.2,
路线/K000006/能耗重算,True,1.8232594430204312,1.8232594430204312,
路线/K000006/SOC重算,True,,,
路线/K000006/卸载偏移重算,True,,,
路线/K000006/非负开始时刻,True,,,
路线/K000006/时间重算,True,"{'stored_finish': 3425.151195058907, 'recomputed_finish': 3425.151195058907}",,
路线/K000006/起飞准备,True,"{'stored': 2259.7476752786897, 'recomputed': 2259.7476752786897}",,
路线/K000006/充电时间,True,"{'stored': 1456.7457586421867, 'recomputed': 1456.7457586421867}",,
路线/K000006/充电完成重算,True,,,
路线/K000006/无人机编号,True,U05,,
路线/K000006/电池编号,True,B-BAT-03,,
通信/K000006/2614.918-2641.499,True,"{'direct_margin': -0.5119281110512333, 'access_margin': 23.583829146224588, 'backhaul_margin': 3.6748289855268013, 'slot': 3}",,直连不可用时的同一中继接入+回传证书
通信/K000006/2641.499-2654.790,True,"{'direct_margin': -0.9141789728191725, 'access_margin': 23.169340927696624, 'backhaul_margin': 3.6748289855268013, 'slot': 3}",,直连不可用时的同一中继接入+回传证书
通信/K000006/2654.790-2668.081,True,"{'direct_margin': -1.2986963856783404, 'access_margin': 20.452735933498758, 'backhaul_margin': 3.6748289855268013, 'slot': 3}",,直连不可用时的同一中继接入+回传证书
通信/K000006/2668.081-2681.371,True,"{'direct_margin': -1.6669723827331495, 'access_margin': 18.175385023928285, 'backhaul_margin': 3.6748289855268013, 'slot': 3}",,直连不可用时的同一中继接入+回传证书
通信/K000006/2681.371-2714.986,True,"{'direct_margin': -1.66697238273305, 'access_margin': 17.900300822659943, 'backhaul_margin': 3.6748289855268013, 'slot': 3}",,直连不可用时的同一中继接入+回传证书
通信/K000006/2714.986-2954.986,True,"{'direct_margin': -1.6591526950182356, 'access_margin': 17.90030082265558, 'backhaul_margin': 3.6748289855268013, 'slot': 3}",,直连不可用时的同一中继接入+回传证书
通信/K000006/2954.986-2982.998,True,"{'direct_margin': -1.6669723827331495, 'access_margin': 17.90030082265558, 'backhaul_margin': 3.6748289855268013, 'slot': 3}",,直连不可用时的同一中继接入+回传证书
通信/K000006/2982.998-2996.289,True,"{'direct_margin': -1.6669723827234293, 'access_margin': 18.17538502398378, 'backhaul_margin': 3.6748289855268013, 'slot': 3}",,直连不可用时的同一中继接入+回传证书
通信/K000006/2996.289-3009.580,True,"{'direct_margin': -1.2986963856866822, 'access_margin': 20.45273593344318, 'backhaul_margin': 3.6748289855268013, 'slot': 3}",,直连不可用时的同一中继接入+回传证书
通信/K000006/3009.580-3022.871,True,"{'direct_margin': -0.9141789728278837, 'access_margin': 23.169340927633115, 'backhaul_margin': 3.6748289855268013, 'slot': 3}",,直连不可用时的同一中继接入+回传证书
通信/K000006/3022.871-3049.452,True,"{'direct_margin': -0.5119281110603566, 'access_margin': 23.583829146072745, 'backhaul_margin': 3.6748289855268013, 'slot': 3}",,直连不可用时的同一中继接入+回传证书
通信连续性/K000006,True,"{'intervals': 15, 'relay_intervals': 11}",,
路线/K000006/逐箱组批一致,True,"{'S010|医疗物资': 1, 'S010|应急食品': 1, 'S010|饮用水': 1}","{'S010|医疗物资': 1, 'S010|应急食品': 1, 'S010|饮用水': 1}",
路线/K000007/目的地/S013|医疗物资,True,,,
路线/K000007/目的地/S013|应急食品,True,,,
路线/K000007/目的地/S013|饮用水,True,,,
路线/K000007/装卸组批一致,True,,,
路线/K000007/载荷体积,True,"{'mass': 25.0, 'volume': 0.067}","{'mass': 30.0, 'volume': 0.073}",
路线/K000007/返航能量余量,True,1.8248637585718628,3.2,
路线/K000007/能耗重算,True,1.8248637585718628,1.8248637585718628,
路线/K000007/SOC重算,True,,,
路线/K000007/卸载偏移重算,True,,,
路线/K000007/非负开始时刻,True,,,
路线/K000007/时间重算,True,"{'stored_finish': 3433.338402893711, 'recomputed_finish': 3433.3384028937116}",,
路线/K000007/起飞准备,True,"{'stored': 2312.8268141491862, 'recomputed': 2312.8268141491862}",,
路线/K000007/充电时间,True,"{'stored': 1457.4409620478073, 'recomputed': 1457.4409620478073}",,
路线/K000007/充电完成重算,True,,,
路线/K000007/无人机编号,True,U06,,
路线/K000007/电池编号,True,B-BAT-02,,
通信/K000007/2661.963-2674.895,True,"{'direct_margin': -0.27033591840317683, 'access_margin': 12.930319400246916, 'backhaul_margin': 3.6748289855268013, 'slot': 3}",,直连不可用时的同一中继接入+回传证书
通信/K000007/2674.895-2687.827,True,"{'direct_margin': -0.6729384879312761, 'access_margin': 12.66051083228956, 'backhaul_margin': 3.6748289855268013, 'slot': 3}",,直连不可用时的同一中继接入+回传证书
通信/K000007/2687.827-2700.759,True,"{'direct_margin': -1.0577629558675739, 'access_margin': 12.264166833591503, 'backhaul_margin': 3.6748289855268013, 'slot': 3}",,直连不可用时的同一中继接入+回传证书
通信/K000007/2700.759-2726.623,True,"{'direct_margin': -1.7798932090982902, 'access_margin': 11.222161324806578, 'backhaul_margin': 3.6748289855268013, 'slot': 3}",,直连不可用时的同一中继接入+回传证书
通信/K000007/2726.623-2745.616,True,"{'direct_margin': -1.779893209098205, 'access_margin': 11.1874127074922, 'backhaul_margin': 3.6748289855268013, 'slot': 3}",,直连不可用时的同一中继接入+回传证书
通信/K000007/2745.616-2985.616,True,"{'direct_margin': -1.775908330041716, 'access_margin': 11.1874127074922, 'backhaul_margin': 3.6748289855268013, 'slot': 3}",,直连不可用时的同一中继接入+回传证书
通信/K000007/2985.616-3001.443,True,"{'direct_margin': -1.7798932090982902, 'access_margin': 11.187412707492712, 'backhaul_margin': 3.6748289855268013, 'slot': 3}",,直连不可用时的同一中继接入+回传证书
通信/K000007/3001.443-3027.307,True,"{'direct_margin': -1.7798932090877173, 'access_margin': 11.222161324824086, 'backhaul_margin': 3.6748289855268013, 'slot': 3}",,直连不可用时的同一中继接入+回传证书
通信/K000007/3027.307-3040.240,True,"{'direct_margin': -1.057762955873386, 'access_margin': 12.264166833584568, 'backhaul_margin': 3.6748289855268013, 'slot': 3}",,直连不可用时的同一中继接入+回传证书
通信/K000007/3040.240-3053.172,True,"{'direct_margin': -0.6729384879373583, 'access_margin': 12.660510832284345, 'backhaul_margin': 3.6748289855268013, 'slot': 3}",,直连不可用时的同一中继接入+回传证书
通信/K000007/3053.172-3066.104,True,"{'direct_margin': -0.2703359184095291, 'access_margin': 12.930319400243874, 'backhaul_margin': 3.6748289855268013, 'slot': 3}",,直连不可用时的同一中继接入+回传证书
通信连续性/K000007,True,"{'intervals': 15, 'relay_intervals': 11}",,
路线/K000007/逐箱组批一致,True,"{'S013|医疗物资': 1, 'S013|应急食品': 1, 'S013|饮用水': 1}","{'S013|医疗物资': 1, 'S013|应急食品': 1, 'S013|饮用水': 1}",
路线/K000008/目的地/S007|医疗物资,True,,,
路线/K000008/目的地/S007|生活卫生用品,True,,,
路线/K000008/目的地/S007|应急食品,True,,,
路线/K000008/目的地/S007|饮用水,True,,,
路线/K000008/装卸组批一致,True,,,
路线/K000008/载荷体积,True,"{'mass': 45.0, 'volume': 0.129}","{'mass': 80.0, 'volume': 0.25}",
路线/K000008/返航能量余量,True,3.411075641855823,6.4,
路线/K000008/能耗重算,True,3.411075641855823,3.411075641855823,
路线/K000008/SOC重算,True,,,
路线/K000008/卸载偏移重算,True,,,
路线/K000008/非负开始时刻,True,,,
路线/K000008/时间重算,True,"{'stored_finish': 4159.840349205346, 'recomputed_finish': 4159.840349205345}",,
路线/K000008/起飞准备,True,"{'stored': 2702.2396507946546, 'recomputed': 2702.2396507946546}",,
路线/K000008/充电时间,True,"{'stored': 1757.1663196692853, 'recomputed': 1757.1663196692853}",,
路线/K000008/充电完成重算,True,,,
路线/K000008/无人机编号,True,U07,,
路线/K000008/电池编号,True,C-BAT-03,,
通信/K000008/3105.687-3131.975,True,"{'direct_margin': -0.4285457885183206, 'access_margin': 6.584781198561544, 'backhaul_margin': 10.978824655493412, 'slot': 0}",,直连不可用时的同一中继接入+回传证书
通信/K000008/3131.975-3145.119,True,"{'direct_margin': -0.8296488296393818, 'access_margin': 6.964028500213757, 'backhaul_margin': 10.978824655493412, 'slot': 0}",,直连不可用时的同一中继接入+回传证书
通信/K000008/3145.119-3158.263,True,"{'direct_margin': -1.213163824729719, 'access_margin': 7.100263728495008, 'backhaul_margin': 10.978824655493412, 'slot': 0}",,直连不可用时的同一中继接入+回传证书
通信/K000008/3158.263-3199.132,True,"{'direct_margin': -1.213163824729591, 'access_margin': 7.159275860742724, 'backhaul_margin': 10.978824655493412, 'slot': 0}",,直连不可用时的同一中继接入+回传证书
通信/K000008/3199.132-3240.000,True,"{'direct_margin': -1.2020557506869949, 'access_margin': 7.115598386535183, 'backhaul_margin': 10.978824655493412, 'slot': 0}",,直连不可用时的同一中继接入+回传证书
通信/K000008/3240.000-3600.000,True,"{'direct_margin': -1.1937365176753048, 'access_margin': 7.115598386535183, 'backhaul_margin': 10.978824655493412, 'slot': 0}",,直连不可用时的同一中继接入+回传证书
通信/K000008/3600.000-3632.695,True,"{'direct_margin': -1.2020557506871086, 'access_margin': 7.115598386535183, 'backhaul_margin': 10.978824655493412, 'slot': 0}",,直连不可用时的同一中继接入+回传证书
通信/K000008/3632.695-3665.389,True,"{'direct_margin': -1.213163824729719, 'access_margin': 7.159275860743207, 'backhaul_margin': 10.978824655493412, 'slot': 0}",,直连不可用时的同一中继接入+回传证书
通信/K000008/3665.389-3678.533,True,"{'direct_margin': -1.2131638247163323, 'access_margin': 7.100263728496046, 'backhaul_margin': 10.978824655493412, 'slot': 0}",,直连不可用时的同一中继接入+回传证书
通信/K000008/3678.533-3691.677,True,"{'direct_margin': -0.8296488296428635, 'access_margin': 6.964028500215136, 'backhaul_margin': 10.978824655493412, 'slot': 0}",,直连不可用时的同一中继接入+回传证书
通信/K000008/3691.677-3717.966,True,"{'direct_margin': -0.4285457885219728, 'access_margin': 6.584781198563505, 'backhaul_margin': 10.978824655493412, 'slot': 0}",,直连不可用时的同一中继接入+回传证书
通信连续性/K000008,True,"{'intervals': 15, 'relay_intervals': 11}",,
路线/K000008/逐箱组批一致,True,"{'S007|医疗物资': 1, 'S007|应急食品': 1, 'S007|生活卫生用品': 1, 'S007|饮用水': 2}","{'S007|医疗物资': 1, 'S007|生活卫生用品': 1, 'S007|应急食品': 1, 'S007|饮用水': 2}",
