货箱编号,架次编号,服务区编号,物资类型,交付完成时刻s,期望时刻s,硬时限,适用截止时刻s,首批保障,优先系数,时限裕度s,迟到量s
S006-HYG-01,Q2-0012,S006,生活卫生用品,2835.59635811,10800,False,,False,8,,0
S006-MED-01,Q2-0012,S006,医疗物资,2835.59635811,3600,True,3600,True,24,764.403641895,
S006-WAT-01,Q2-0012,S006,饮用水,2835.59635811,3600,True,3600,True,12,764.403641895,
S006-WAT-02,Q2-0012,S006,饮用水,2835.59635811,3600,False,,False,12,,0
S006-WAT-03,Q2-0012,S006,饮用水,2835.59635811,3600,False,,False,12,,0
S007-FOD-01,Q2-0015,S007,应急食品,3521.60251523,7200,False,,False,10,,0
S007-HYG-01,Q2-0015,S007,生活卫生用品,3521.60251523,10800,False,,False,8,,0
S007-MED-01,Q2-0015,S007,医疗物资,3521.60251523,3600,True,3600,True,24,78.3974847701,
S007-WAT-01,Q2-0015,S007,饮用水,3521.60251523,3600,True,3600,True,12,78.3974847701,
S007-WAT-02,Q2-0015,S007,饮用水,3521.60251523,3600,False,,False,12,,0
S008-FOD-01,Q2-0025,S008,应急食品,6205.97824717,10800,False,,False,8,,0
S008-HYG-01,Q2-0025,S008,生活卫生用品,6205.97824717,14400,False,,False,6,,0
S008-MED-01,Q2-0025,S008,医疗物资,6205.97824717,7200,True,7200,True,20,994.021752835,
S008-WAT-01,Q2-0025,S008,饮用水,6205.97824717,7200,True,7200,True,10,994.021752835,
S008-WAT-02,Q2-0025,S008,饮用水,6205.97824717,7200,False,,False,10,,0
S009-FOD-01,Q2-0024,S009,应急食品,5759.10197578,14400,False,,False,6,,0
S009-MED-01,Q2-0011,S009,医疗物资,2720.80249293,10800,True,10800,True,16,8079.19750707,
S009-WAT-01,Q2-0011,S009,饮用水,2720.80249293,10800,True,10800,True,8,8079.19750707,
S010-FOD-01,Q2-0005,S010,应急食品,1104.98300166,7200,False,,False,10,,0
S010-MED-01,Q2-0005,S010,医疗物资,1104.98300166,3600,True,3600,True,24,2495.01699834,
S010-WAT-01,Q2-0002,S010,饮用水,1044.98300166,3600,True,3600,True,12,2555.01699834,
S011-FOD-01,Q2-0020,S011,应急食品,4398.55230019,14400,False,,False,6,,0
S011-MED-01,Q2-0020,S011,医疗物资,4398.55230019,10800,True,10800,True,16,6401.44769981,
S011-WAT-01,Q2-0020,S011,饮用水,4398.55230019,10800,True,10800,True,8,6401.44769981,
S012-FOD-01,Q2-0022,S012,应急食品,5709.47219787,7200,False,,False,10,,0
S012-MED-01,Q2-0004,S012,医疗物资,1334.52907645,7200,True,3600,True,22,2265.47092355,
S012-WAT-01,Q2-0004,S012,饮用水,1334.52907645,3600,True,3600,True,12,2265.47092355,
S013-FOD-01,Q2-0007,S013,应急食品,1062.78912771,7200,False,,False,10,,0
S013-MED-01,Q2-0007,S013,医疗物资,1062.78912771,3600,True,3600,True,24,2537.21087229,
S013-WAT-01,Q2-0007,S013,饮用水,1062.78912771,3600,True,3600,True,12,2537.21087229,
S014-FOD-01,Q2-0003,S014,应急食品,1242.43050431,7200,False,,False,10,,0
S014-MED-01,Q2-0003,S014,医疗物资,1242.43050431,7200,True,3600,True,22,2357.56949569,
S014-WAT-01,Q2-0003,S014,饮用水,1242.43050431,3600,True,3600,True,12,2357.56949569,
S015-FOD-01,Q2-0013,S015,应急食品,3087.35145537,14400,False,,False,6,,0
S015-MED-01,Q2-0013,S015,医疗物资,3087.35145537,7200,True,7200,True,18,4112.64854463,
S015-WAT-01,Q2-0013,S015,饮用水,3087.35145537,10800,True,10800,True,8,7712.64854463,
