FILE D题\数据\无人机应急物资运输基础数据\物资需求与配送时限.xlsx SHEET 数据
1: ('服务区编号', '物资类型', '总需求箱数', '首批必须送达箱数', '单箱质量（kg）', '单箱体积（m³）', '应急优先系数', '首批截止时间（s）', '期望送达时间（s）')
7: ('S001', '平旺、那龙、镇龙乡', 109.2432319, 23.0335927, 154, 2100)
8: ('S002', '上良', 109.2585519, 23.0703271, 189.5, 330)
9: ('S003', '六造、那旭、都长', 109.1688578, 23.0402714, 308.5, 275)
10: ('S004', '大站', 109.2381714, 23.0778414, 198.3, 188)
11: ('S005', '上良、古律、那麓', 109.2283003, 23.0561338, 165, 126)
12: ('S006', '六昌、木路', 109.1997836, 23.007714, 284.8, 121)
13: ('S007', '佛子、那桑、银坑', 109.1928191, 23.0294186, 318.5, 76)
14: ('S008', '古麻、大站', 109.2127472, 23.0795113, 240.9, 55)
15: ('S009', '那龙', 109.2541424, 23.0552989, 200, 45)
16: ('S010', '镇龙乡', 109.2760168, 23.0194009, 321.6, 31)
17: ('S011', '那从', 109.2203356, 23.0319231, 182.1, 30)
18: ('S012', '镇龙乡', 109.2831357, 23.054464, 249.8, 16)
19: ('S013', '镇龙乡', 109.2713839, 23.0310882, 321.7, 14)
20: ('S014', '镇龙乡', 109.2835966, 23.0052097, 321, 12)
21: ('S015', '六造、那托、那旭', 109.1923786, 23.0494548, 444.5, 3)
FILE D题\数据\无人机应急物资运输基础数据\运输无人机数据.xlsx SHEET 数据
1: ('三类机型参数', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None)
2: ('机型编号', '机型名称', '含电池空载总质量（kg）', '最大载货质量（kg）', '可用装载体积（m³）', '计划巡航速度（m/s）', '空载标准航程（m）', '满载标准航程（m）', '电池可用能量（kWh）', '返航电量下限（%）', '工位固定准备时间（s）', '每箱装载时间（s）', '接收点基础交接时间（s）', '每箱增加交接时间（s）', '最大爬升速度（m/s）', '最大下降速度（m/s）', '爬升能耗效率', '下降能耗效率')
3: ('A', '中轻载标准测试多旋翼', 70, 25, 0.06, 12, 25000, 20000, 4.5, 20, 300, 30, 150, 30, 3, 2.5, 0.72, 0)
4: ('B', '中载标准测试多旋翼', 65, 30, 0.073, 15, 28000, 16000, 4, 20, 300, 30, 150, 30, 3, 2.5, 0.72, 0)
5: ('C', '重载标准测试多旋翼', 69.9, 80, 0.25, 15, 26000, 12000, 8, 20, 300, 30, 180, 36, 2.5, 2, 0.72, 0)
6: (None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None)
7: ('逐架无人机清单', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None)
8: ('无人机编号', '机型编号', '初始位置', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None)
9: ('U01', 'A', 'O01', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None)
10: ('U02', 'A', 'O01', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None)
11: ('U03', 'A', 'O01', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None)
12: ('U04', 'A', 'O01', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None)
13: ('U05', 'B', 'O01', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None)
14: ('U06', 'B', 'O01', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None)
15: ('U07', 'C', 'O01', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None)
16: ('U08', 'C', 'O01', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None)
17: (None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None)
18: ('共享电池库存', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None)
19: ('机型编号', '共享电池组总数（组）', '等效完全充电时间（s）', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None)
20: ('A', 6, 1800, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None)
21: ('B', 4, 2400, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None)
22: ('C', 4, 3000, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None)
