货箱编号,架次编号,服务区编号,访问事件,交付完成时刻（s）,期望送达时间（s）,适用硬截止时间（s）,时限裕度或迟到量（s）
S002-MED-01,K00873,S002,1,3394.931781,3600.0,3600.0,205.068219
S002-WAT-01,K00873,S002,1,3394.931781,3600.0,3600.0,205.068219
S002-WAT-03,K00873,S002,1,3394.931781,3600.0,,0.0
S002-WAT-04,K00873,S002,1,3394.931781,3600.0,,0.0
S001-WAT-06,K00112,S001,1,3923.59153,3600.0,,323.59153
S001-WAT-07,K00112,S001,1,3923.59153,3600.0,,323.59153
S004-FOD-01,K00895,S004,1,4837.22503,10800.0,,0.0
S004-HYG-01,K00895,S004,1,4837.22503,14400.0,,0.0
S004-MED-01,K00895,S004,1,4837.22503,7200.0,7200.0,2362.77497
S004-WAT-01,K00895,S004,1,4837.22503,7200.0,7200.0,2362.77497
S004-WAT-02,K00895,S004,1,4837.22503,7200.0,,0.0
S004-WAT-03,K00895,S004,1,4837.22503,7200.0,,0.0
S015-FOD-01,K00345,S015,1,5010.17827,14400.0,,0.0
S015-MED-01,K00345,S015,1,5010.17827,7200.0,7200.0,2189.82173
S015-WAT-01,K00345,S015,1,5010.17827,10800.0,10800.0,5789.82173
S001-WAT-02,K00115,S001,1,5380.337288,3600.0,,1780.337288
S001-WAT-03,K00115,S001,1,5380.337288,3600.0,,1780.337288
S003-FOD-01,K00879,S003,1,5660.99172,10800.0,,0.0
S003-FOD-02,K00879,S003,1,5660.99172,10800.0,,0.0
S003-MED-01,K00879,S003,1,5660.99172,7200.0,7200.0,1539.00828
S003-WAT-01,K00879,S003,1,5660.99172,7200.0,7200.0,1539.00828
S003-WAT-03,K00879,S003,1,5660.99172,7200.0,,0.0
S003-WAT-04,K00879,S003,1,5660.99172,7200.0,,0.0
S001-WAT-04,K00117,S001,1,6529.443464,3600.0,,2929.443464
S001-WAT-05,K00117,S001,1,6529.443464,3600.0,,2929.443464
S003-HYG-01,K00448,S003,1,6909.180215,14400.0,,0.0
S003-WAT-02,K00448,S003,1,6909.180215,7200.0,,0.0
S008-FOD-01,K00862,S008,1,7052.478151,10800.0,,0.0
S008-HYG-01,K00862,S008,1,7052.478151,14400.0,,0.0
S008-MED-01,K00862,S008,1,7052.478151,7200.0,7200.0,147.521849
S008-WAT-01,K00862,S008,1,7052.478151,7200.0,7200.0,147.521849
S008-WAT-02,K00862,S008,1,7052.478151,7200.0,,0.0
S011-FOD-01,K00064,S011,1,7773.687679,14400.0,,0.0
S011-MED-01,K00064,S011,1,7773.687679,10800.0,10800.0,3026.312321
S011-WAT-01,K00064,S011,1,7773.687679,10800.0,10800.0,3026.312321
S005-FOD-01,K00633,S005,1,7833.18103,14400.0,,0.0
S005-HYG-01,K00633,S005,1,7833.18103,18000.0,,0.0
S005-MED-01,K00633,S005,1,7833.18103,10800.0,10800.0,2966.81897
S005-WAT-01,K00633,S005,1,7833.18103,10800.0,10800.0,2966.81897
S005-WAT-02,K00633,S005,1,7833.18103,10800.0,,0.0
S005-WAT-03,K00633,S005,1,7833.18103,10800.0,,0.0
S009-FOD-01,K00306,S009,1,8732.333147,14400.0,,0.0
S009-MED-01,K00306,S009,1,8732.333147,10800.0,10800.0,2067.666853
S009-WAT-01,K00306,S009,1,8732.333147,10800.0,10800.0,2067.666853
S002-HYG-01,K00422,S002,1,9216.015434,10800.0,,0.0
S002-WAT-02,K00422,S002,1,9216.015434,3600.0,,5616.015434
